RESP,QE1,QB31,QH1,QH2,QI2D
1000985,12,9,,,
1000986,2,3,2,2,5
1000989,1,3,2,2,5
1000991,12,2,,,
1000994,1,9,2,2,5
1000995,2,4,2,9,5
1000996,2,3,2,2,1
1000997,12,9,,,
1000998,12,3,,,
1000999,2,1,2,2,3
1001000,1,3,2,2,5
1001001,1,1,1,,5
1001003,1,3,1,,1
1001004,1,3,2,1,9
1001005,2,1,2,2,5
1001006,1,3,2,2,5
1001007,78,2,2,,
1001008,1,1,1,,9
1001009,1,1,2,9,5
1001010,2,1,2,2,5
1001011,1,1,2,9,5
1001012,1,3,2,9,5
1001014,1,1,2,2,1
1001015,12,4,,,
1001017,83,3,2,,
1001018,2,3,2,1,5
1001019,12,3,,,
1001020,2,1,1,,9
1001021,7,2,2,,
1001022,1,3,1,,5
1001023,1,3,2,9,5
1001024,1,1,2,2,5
1001025,2,3,2,2,5
1001026,6,3,2,,
1001027,1,1,1,,5
1001031,12,3,,,
1001034,1,1,1,,5
1001035,1,1,9,,1
1001037,1,1,2,2,4
1001038,1,9,2,2,5
1001040,12,1,,,
1001041,12,3,,,
1001042,1,1,1,,5
1001045,12,3,,,
1001046,1,1,9,,1
1001047,1,3,2,9,5
1001050,1,9,1,,5
1001052,2,3,2,2,5
1001053,5,9,2,,
1001054,2,3,2,9,4
1001055,1,1,1,,2
1001056,2,1,2,2,5
1001058,1,9,9,,5
1001059,1,1,2,1,5
1001060,10,3,,,
1001061,5,1,2,,
1001063,2,1,2,2,5
1001064,9,3,,,
1001065,1,3,3,,5
1001066,1,1,1,,1
1001067,1,1,3,,5
1001068,1,1,1,,5
1001069,5,3,2,,
1001070,2,9,1,,1
1001071,999,4,,,
1001073,9,2,,,
1001074,1,1,2,2,9
1001075,12,3,,,
1001076,1,1,2,1,5
1001077,1,1,2,2,5
1001078,1,1,2,2,5
1001080,2,4,2,2,5
1001081,1,9,2,1,5
1001082,1,1,9,,5
1001083,1,3,2,2,5
1001084,2,3,2,2,5
1001085,1,3,2,2,5
1001086,5,1,2,,
1001088,1,3,2,2,5
1001089,1,3,2,9,1
1001090,1,3,2,2,5
1001091,1,3,2,2,5
1001094,2,1,2,2,5
1001096,1,1,2,1,9
1001097,1,3,3,,5
1001098,1,2,2,9,5
1001099,1,3,2,2,5
1001100,1,3,2,2,5
1001101,2,3,9,,5
1001102,12,3,,,
1001103,1,3,3,,5
1001104,15,9,1,,1
1001105,5,3,2,,
1001106,1,3,2,2,5
1001107,1,1,2,2,5
1001109,1,4,2,2,5
1001110,12,3,,,
1001112,1,3,2,2,9
1001113,1,1,1,,5
1001114,1,1,1,,5
1001115,1,3,2,2,4
1001117,1,3,2,2,5
1001118,12,3,,,
1001120,1,1,2,2,5
1001122,1,3,2,2,9
1001123,12,4,,,
1001124,2,3,2,2,1
1001126,1,1,2,2,5
1001127,5,1,2,,
1001128,1,3,2,2,5
1001129,1,1,2,9,5
1001131,1,9,2,9,5
1001132,1,1,1,,5
1001133,2,2,2,2,9
1001134,1,1,1,,5
1001135,2,9,2,2,5
1001138,1,1,1,,4
1001139,1,3,2,9,5
1001140,12,3,,,
1001141,5,4,2,,
1001142,12,3,,,
1001143,12,3,,,
1001145,1,1,2,1,4
1001146,2,3,1,,5
1001147,1,4,2,2,5
1001149,2,3,2,1,1
1001150,2,1,2,2,5
1001151,1,1,9,,5
1001153,2,3,2,2,5
1001154,1,9,1,,5
1001155,2,3,2,2,5
1001156,2,1,2,1,5
1001157,10,3,,,
1001158,4,3,9,,4
1001159,1,1,2,2,5
1001160,12,3,,,
1001162,1,1,2,1,5
1001163,1,3,1,,1
1001164,1,3,2,9,5
1001165,70,3,2,,
1001166,12,3,,,
1001167,2,1,2,2,5
1001171,1,3,2,2,5
1001172,1,1,1,,3
1001173,1,3,2,2,3
1001174,1,1,1,,5
1001176,1,3,2,2,1
1001178,5,1,1,,
1001179,1,3,2,2,5
1001180,1,9,2,9,5
1001181,1,2,2,2,5
1001182,1,1,2,2,5
1001183,12,3,,,
1001186,12,3,,,
1001187,8,2,2,,
1001188,1,1,1,,5
1001190,1,2,2,2,5
1001191,1,1,2,2,5
1001192,12,4,,,
1001193,1,1,2,1,5
1001194,12,3,,,
1001195,1,1,2,9,5
1001196,1,3,1,,5
1001198,12,3,,,
1001201,1,9,2,2,5
1001202,1,9,2,1,5
1001203,1,1,2,1,5
1001204,2,2,2,2,5
1001205,1,9,3,,5
1001206,1,1,2,1,5
1001207,1,1,2,1,5
1001208,1,4,2,2,5
1001209,1,1,2,1,5
1001210,1,3,1,,9
1001211,2,3,2,2,5
1001212,2,3,2,2,5
1001214,8,2,2,,
1001215,1,3,2,2,5
1001217,8,1,2,,
1001219,1,1,3,,5
1001220,1,1,2,1,5
1001222,2,3,2,2,5
1001223,1,1,2,2,5
1001226,5,3,2,,
1001228,2,1,1,,5
1001229,1,1,9,,1
1001230,2,3,2,2,5
1001231,2,3,2,2,5
1001233,1,3,2,2,5
1001234,1,3,2,2,5
1001235,2,3,2,2,5
1001236,1,3,2,2,5
1001237,1,3,2,2,4
1001238,3,1,1,,5
1001239,13,3,3,,5
1001240,6,9,3,,
1001246,8,1,2,,
1001247,1,3,2,2,5
1001249,9,3,,,
1001251,8,3,2,,
1001252,2,3,2,2,3
1001253,12,1,,,
1001254,13,9,9,,5
1001256,1,3,2,1,5
1001257,10,3,,,
1001258,1,2,2,9,5
1001260,1,2,2,2,5
1001262,2,2,2,2,5
1001263,1,1,2,2,2
1001264,1,3,2,1,5
1001265,12,3,,,
1001267,1,3,2,2,5
1001269,1,3,2,2,5
1001270,1,3,2,1,5
1001271,1,3,2,2,5
1001272,1,1,2,2,4
1001273,1,1,1,,5
1001274,1,1,1,,1
1001275,1,3,2,2,5
1001276,1,1,2,1,5
1001277,1,3,1,,9
1001279,1,1,1,,5
1001282,1,1,1,,5
1001283,2,3,2,2,5
1001284,1,1,2,1,4
1001285,2,3,2,2,5
1001286,1,3,2,2,5
1001287,2,1,2,2,3
1001288,1,9,1,,5
1001289,2,3,2,2,5
1001291,1,1,2,9,5
1001293,2,9,2,2,5
1001294,2,3,2,2,5
1001295,3,1,2,2,5
1001297,10,3,,,
1001298,1,3,2,2,5
1001299,2,3,1,,4
1001300,12,3,,,
1001301,12,2,,,
1001302,1,3,2,1,5
1001303,2,1,9,,5
1001304,1,3,1,,5
1001305,2,1,2,2,5
1001306,2,1,2,2,5
1001311,2,3,2,2,5
1001312,2,1,2,1,5
1001313,1,3,2,1,5
1001314,2,3,2,2,5
1001315,1,4,2,2,5
1001316,12,2,,,
1001319,1,1,1,,5
1001323,1,3,1,,1
1001325,12,3,,,
1001326,12,2,,,
1001327,12,4,,,
1001328,1,3,2,2,5
1001329,1,3,9,,1
1001330,1,1,2,2,5
1001333,1,1,1,,5
1001334,2,3,2,2,5
1001335,2,1,1,,5
1001338,12,4,,,
1001339,1,1,2,2,5
1001340,5,3,2,,
1001341,10,3,,,
1001342,1,3,1,,5
1001343,1,3,2,9,5
1001344,1,1,1,,5
1001346,2,1,2,2,5
1001347,1,3,2,1,2
1001348,4,3,2,2,5
1001351,2,3,2,2,9
1001352,2,2,2,2,5
1001354,12,2,,,
1001355,8,3,2,,
1001356,2,3,2,2,5
1001357,2,1,2,2,5
1001358,2,9,2,2,5
1001359,1,9,2,1,5
1001360,1,1,2,2,5
1001361,1,1,1,,5
1001364,2,1,2,2,5
1001365,12,3,,,
1001366,2,3,2,2,5
1001367,10,3,,,
1001369,2,4,2,2,3
1001370,12,1,,,
1001371,5,3,2,,
1001372,12,3,,,
1001373,1,1,2,9,5
1001377,1,1,2,1,5
1001378,1,4,2,2,5
1001379,12,3,,,
1001381,2,3,2,2,4
1001382,1,3,2,2,5
1001384,12,3,,,
1001385,1,1,1,,2
1001386,5,4,2,,
1001387,1,1,2,1,5
1001388,12,1,,,
1001389,1,3,9,,5
1001390,1,9,2,9,5
1001391,1,1,1,,5
1001392,12,4,,,
1001393,1,1,2,9,5
1001394,1,1,1,,4
1001395,2,2,2,2,5
1001396,1,1,2,1,5
1001397,1,1,1,,5
1001398,3,4,1,,5
1001399,1,3,2,2,5
1001401,2,1,1,,5
1001402,1,1,2,2,5
1001403,1,1,2,1,5
1001404,1,3,2,2,4
1001405,57,2,2,,
1001409,1,3,9,,5
1001411,2,1,1,,5
1001412,1,1,1,,2
1001413,1,1,2,9,5
1001416,1,1,9,,5
1001420,1,1,2,2,5
1001421,2,3,2,2,5
1001422,10,2,,,
1001423,12,3,,,
1001424,1,1,2,2,5
1001425,1,3,2,2,5
1001426,2,3,2,2,5
1001427,2,1,2,2,5
1001428,1,1,2,2,5
1001429,1,1,2,9,1
1001430,2,1,2,2,5
1001431,1,3,2,1,5
1001432,2,3,2,2,5
1001433,83,2,9,,
1001434,1,1,2,1,5
1001435,13,2,2,2,5
1001437,1,9,2,1,5
1001438,2,3,2,2,9
1001439,1,2,2,2,5
1001442,12,3,,,
1001443,2,3,2,2,5
1001445,1,1,2,9,5
1001446,9,4,,,
1001448,6,3,2,,
1001449,1,1,3,,5
1001451,2,1,2,1,5
1001452,2,4,2,2,9
1001454,1,3,9,,5
1001455,2,3,2,2,5
1001456,9,4,,,
1001457,2,2,1,,5
1001458,1,1,2,1,5
